invoice_id,client,amount,status,raised_date,raised_by,submitted_date,approved_date,approved_by,paid_date,po_number
INV-1001,Acme Ltd,1200,Paid,2024-01-05,A. Shah,2024-01-06,2024-01-08,R. Patel,2024-01-20,PO-77
INV-1002,Globex,800,Paid,2024-01-07,A. Shah,2024-01-08,2024-01-10,R. Patel,2024-01-25,PO-78
INV-1003,Initech,5400,Paid,2024-01-10,B. Cole,2024-01-11,2024-01-15,R. Patel,2024-02-01,PO-79
INV-1004,Umbrella,300,Rejected,2024-01-12,B. Cole,2024-01-13,,,,PO-80
INV-1005,Wayne Enterprises,9800,Paid,2024-01-15,A. Shah,,,,2024-02-05,PO-81
INV-1006,Stark Inc,220,On Hold,2024-01-16,C. Diaz,2024-01-17,,,,PO-82
INV-1007,Hooli,640,Approved,2024-01-18,C. Diaz,2024-01-19,2024-01-22,R. Patel,,PO-83
INV-1008,Acme Ltd,1500,Paid,2024-01-20,A. Shah,2024-01-21,2024-01-19,R. Patel,2024-02-03,PO-84
INV-1009,,,Submitted,,,2024-01-25,,,,
INV-1010,Vandelay,450,Draft,,,,,,,PO-86
INV-1011,Soylent,720,Paid,03/02/2024,A. Shah,05/02/2024,09/02/2024,R. Patel,20/02/2024,PO-88
INV-1012,Tyrell Corp,300,Paid,8-Feb-2024,B. Cole,9-Feb-2024,12-Feb-2024,R. Patel,28-Feb-2024,PO-89
INV-1013,Cyberdyne,2600,Paid,2024-02-10,A. Shah,2024-02-11,2024-02-14,R. Patel,2024-02-28,PO-90
INV-1014,Massive Dynamic,1750,Approved,2024-02-12,C. Diaz,2024-02-13,2024-02-16,R. Patel,,PO-91
INV-1015,Gringotts,4100,Paid,2024-02-15,B. Cole,,,,2024-03-01,PO-92
INV-1002,Globex,800,Paid,2024-01-07,A. Shah,2024-01-08,2024-01-10,R. Patel,2024-01-26,PO-78
INV-1011,Soylent,720,Rejected,2024-02-15,,,,,,
INV-9001,SYSTEM,0,Paid,2024-01-31,system,2024-01-31,2024-01-31,system,2024-01-31,
INV-9002,SYSTEM,0,Paid,2024-02-29,system,2024-02-29,2024-02-29,system,2024-02-29,
INV-9003,SYSTEM,0,Paid,2024-03-31,system,2024-03-31,2024-03-31,system,2024-03-31,
INV-1016,,,,,,,,,,
,Ghost Corp,500,Paid,2024-01-02,A. Shah,,,,2024-01-09,PO-99
