case_id,activity,timestamp,resource,lifecycle
case-10011,Confirmation of receipt,2011-10-11T13:45:40.276+02:00,Resource21,complete
case-10011,T02 Check confirmation of receipt,2011-10-12T08:26:25.398+02:00,Resource10,complete
case-10011,T03 Adjust confirmation of receipt,2011-11-24T15:36:51.302+01:00,Resource21,complete
case-10011,T02 Check confirmation of receipt,2011-11-24T15:37:16.553+01:00,Resource21,complete
case-10017,Confirmation of receipt,2011-10-18T13:46:39.679+02:00,Resource30,complete
case-10017,T06 Determine necessity of stop advice,2011-10-18T13:47:06.950+02:00,Resource30,complete
case-10017,T02 Check confirmation of receipt,2011-10-18T13:47:26.235+02:00,Resource30,complete
case-10017,T03 Adjust confirmation of receipt,2011-10-18T13:47:41.811+02:00,Resource30,complete
case-10017,T02 Check confirmation of receipt,2011-10-18T13:47:57.979+02:00,Resource30,complete
case-10017,T10 Determine necessity to stop indication,2011-10-18T13:48:15.357+02:00,Resource30,complete
case-10017,T03 Adjust confirmation of receipt,2011-10-18T13:48:30.632+02:00,Resource30,complete
case-10017,T02 Check confirmation of receipt,2011-10-18T13:51:01.525+02:00,Resource30,complete
case-10017,T03 Adjust confirmation of receipt,2011-10-18T13:56:57.603+02:00,admin2,complete
case-10024,Confirmation of receipt,2011-10-18T15:53:19.732+02:00,Resource03,complete
case-10024,T02 Check confirmation of receipt,2011-10-18T15:53:38.108+02:00,Resource03,complete
case-10024,T04 Determine confirmation of receipt,2011-10-18T15:53:53.778+02:00,Resource03,complete
case-10024,T05 Print and send confirmation of receipt,2011-10-18T15:54:06.717+02:00,Resource03,complete
case-10024,T06 Determine necessity of stop advice,2011-10-18T15:54:24.121+02:00,Resource03,complete
case-10024,T10 Determine necessity to stop indication,2011-10-18T15:57:18.847+02:00,Resource03,complete
case-10025,Confirmation of receipt,2011-10-25T09:27:08.484+02:00,Resource03,complete
case-10025,T02 Check confirmation of receipt,2011-10-25T09:27:27.316+02:00,Resource03,complete
case-10025,T04 Determine confirmation of receipt,2011-10-25T09:27:46.307+02:00,Resource03,complete
case-10025,T05 Print and send confirmation of receipt,2011-10-25T09:28:00.504+02:00,Resource03,complete
case-10025,T06 Determine necessity of stop advice,2011-10-25T09:28:15.484+02:00,Resource03,complete
case-10025,T10 Determine necessity to stop indication,2011-10-25T09:28:33.002+02:00,Resource03,complete
case-10028,Confirmation of receipt,2011-10-25T14:13:10.744+02:00,Resource03,complete
case-10028,T02 Check confirmation of receipt,2011-10-25T14:13:31.837+02:00,Resource03,complete
case-10028,T04 Determine confirmation of receipt,2011-10-25T14:13:49.542+02:00,Resource03,complete
case-10028,T05 Print and send confirmation of receipt,2011-10-25T14:14:24.249+02:00,Resource03,complete
case-10028,T06 Determine necessity of stop advice,2011-10-25T14:22:15.239+02:00,Resource03,complete
case-10028,T10 Determine necessity to stop indication,2011-10-25T14:23:06.272+02:00,Resource03,complete
case-10028,T16 Report reasons to hold request,2011-10-25T14:23:58.755+02:00,Resource03,complete
case-10028,T17 Check report Y to stop indication,2011-10-25T14:24:22.922+02:00,Resource03,complete
case-10028,T19 Determine report Y to stop indication,2011-10-25T14:24:55.079+02:00,Resource03,complete
case-10028,T20 Print report Y to stop indication,2011-10-25T14:25:10.989+02:00,Resource03,complete
case-10059,Confirmation of receipt,2011-10-17T15:31:27.570+02:00,Resource06,complete
case-10059,T02 Check confirmation of receipt,2011-10-17T15:31:51.615+02:00,Resource06,complete
case-10059,T04 Determine confirmation of receipt,2011-10-17T15:32:34.591+02:00,Resource06,complete
